test;тест;испытание, проверка
trial;пробный;испытательный, ознакомительный
pace;темп;ритм
negotiated;согласованный;
righteous;праведный;благочестивый, добродетельный
fury;ярость;неистовство, бешенство
dim;тусклый;смутный, неясный
witted;сообразительный;
motorist;автомобилист;автолюбитель, водитель
presently;в настоящее время;сейчас, ныне
disappeared;пропавший;
vast;обширный;пространный, большой
emergency;чрезвычайная ситуация;чрезвычайное положение, аварийная ситуация
beyond;за;сверх, после
resisted;устоявший;
urge;побуждать;призывать, призвать
whacked;измотанный;измученный
buttons;завязи;
abiding;неизменный;постоянный, непреходящий
fashion;мода;модная одежда, модница
thick;толстый;жирный, более толстый
inner;внутренний;
liquor;спиртной напиток;крепкий напиток, крепкий спиртной напиток
distracted;рассеянный;
stocky;коренастый;приземистый, кряжистый
nurse;медсестра;медицинская сестра, сиделка
whether;ли;
approached;приближенный;
chores;домашние дела;
kind;добрый;любезный, доброжелательный
policy;политика;стратегия
issue;вопрос;проблема, тема
designated;назначенный;заданный
wingman;ведомый;
anyone;кто угодно;никто, кто
domestic;внутренний;
violence;насилие;жестокость, насильственные действия
nurse;медсестра;медицинская сестра, сиделка
kin;род;семья
partly;частично;отчасти, наполовину
disturbing;беспокоящий;возмущающий, тревожащий
condo;кондо;кондоминиум
adjoining;прилегающий;примыкающий, граничащий
summer;лето;
summon;призвать;призывать
bedewed;орошенный;
corkscrew;штопор;
cork;пробка;заглушка, затычка
screw;винт;шуруп, болт
dwell;обитать;жить, пребывать
brace;распорка;раскос, подкос
revel;наслаждаться;упиваться
he;он;
interested;заинтересованный;увлеченный, интересующийся
some;некоторые;одни
through;через;сквозь
distraught;обезумевший;расстроенный, растерянный
lived;прожитый;
thrust;тяга;сила тяги
knack;сноровка;умение, ловкость
gaze;пристальный взгляд;внимательный взгляд
kind;добрый;любезный, доброжелательный
distracted;рассеянный;
wry;кривой;
Considering;рассматривающий;
necessarily;обязательно;непременно
reduce;уменьшить;снижать, уменьшать
footprint;след;отпечаток
pretty;хорошенький;симпатичный, хороший
kinda;вроде;
